frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
130.0,board-acceptance,row-bank-chip-column,720p16,1280,720,16,replay,write,2048,15.753846153846155,0.0,1,0,99.53703703703704,100,0,0,1,0,34.88461538461539,0.15384615384615385,0,110.464,42.48615384615385,149.536,256,2,176
130.0,board-acceptance,row-chip-bank-column,720p16,1280,720,16,replay,write,2048,15.753846153846155,0.0,1,0,99.53703703703704,100,0,0,1,0,34.88461538461539,0.15384615384615385,0,110.464,42.48615384615385,149.536,256,2,175
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,15.753846153846155,0.0,1,0,99.53703703703704,100,0,0,1,0,34.88461538461539,0.15384615384615385,0,110.464,42.48615384615385,149.536,256,2,211
130.0,board-acceptance,stripe-1k-chip-bank,720p16,1280,720,16,replay,write,2048,15.753846153846155,0.0,1,0,99.53703703703704,100,0,0,1,0,34.88461538461539,0.15384615384615385,0,110.464,42.48615384615385,149.536,256,2,210
143.0,exploratory-overclock,chip-row-bank-column,1080p16,1920,1080,16,capture,write,2048,14.321678321678322,0.0,1,0,100.0,100,1,0,0,0,11.979020979020978,15.223776223776223,0,249.216,87.13846153846154,36.784,0,23,274
143.0,exploratory-overclock,linear,1080p16,1920,1080,16,capture,write,2048,14.321678321678322,0.0,1,0,100.0,100,1,0,0,0,14.153846153846153,15.363636363636363,0,249.216,87.13846153846154,36.784,0,23,256
143.0,exploratory-overclock,row-bank-chip-column,1080p16,1920,1080,16,capture,write,2048,14.321678321678322,0.0,1,0,100.0,100,1,0,0,0,11.979020979020978,15.013986013986013,0,249.216,87.13846153846154,36.784,0,23,270
143.0,exploratory-overclock,row-chip-bank-column,1080p16,1920,1080,16,capture,write,2048,14.321678321678322,0.0,1,0,100.0,100,1,0,0,0,11.979020979020978,15.223776223776223,0,249.216,87.13846153846154,36.784,0,23,273
143.0,exploratory-overclock,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,14.321678321678322,0.0,1,0,100.0,100,1,0,0,0,11.979020979020978,15.034965034965035,0,249.216,87.13846153846154,36.784,0,23,394
143.0,exploratory-overclock,stripe-1k-chip-bank,1080p16,1920,1080,16,capture,write,2048,14.321678321678322,0.0,1,0,100.0,100,1,0,0,0,11.979020979020978,14.867132867132867,0,249.216,87.13846153846154,36.784,0,23,400
